
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

specie1,specie2,specie3,specie4,
5,100,33,7,
50,59,7,56,
58,14,23,74,
88,20,20,88,
37,51,47,53,
0,3858,2411,1,
48,50,18,47,
83,19,18,80,
83,19,6,80,
133,8,8,130,
100,23,23,100,
89,7,6,95,
7,157,49,20,
37,63,26,37,
22,91,14,28,
55,27,18,82,
12,88,71,12,
10133,0,0,10130,
91,11,6,88,
92,10,4,89,
3,118,108,3,
13,80,26,25,
0,151,130,0,
54,48,38,51,
99,10,10,96,
0,134,93,0,
12,88,64,13,
48,42,22,63,
3091,0,0,3091,
71,29,10,71,
106,0,0,104,
55,45,28,55,
0,160,151,0,
41,33,24,76,
26,31,25,72,
48,34,29,75,
4376,0,0,4410,
38,64,39,35,
76,20,8,82,
45,55,41,45,
56,16,10,98,
10,88,40,14,
63,39,0,71,
62,36,6,62,
52,48,13,52,
0,141,124,0,
0,160,139,0,
26,82,41,26,
60,45,15,58,
127,10,10,130,
24,74,50,21,
30,73,37,28,
1998,0,0,1995,
0,502,475,0,
77,33,33,75,
46,36,25,46,
44,48,43,56,
48,38,24,69,
36,44,32,66,
79,35,6,76,
36,40,31,69,
1,104,91,1,

18,125,84,18,
55,45,30,55,
87,17,17,84,
68,33,33,66,
3,99,81,0,
55,29,21,79,
81,21,8,78,
24,77,56,23,
98,14,14,95,
36,66,41,33,
28,85,52,28,
2,141,31,9,
48,54,32,45,
108,0,0,108,
58,36,15,65,
26,54,30,56,
34,68,33,31,
56,46,45,53,
39,43,36,64,
80,34,34,101,
3,99,73,3,
1,116,74,1,
103,17,17,103,
25,81,19,25,
39,76,47,39,
6,74,62,36,
113,31,31,110,
80,16,0,86,
0,208,197,0,
1330,0,0,1327,
27,74,33,29,
18,84,81,15,
8,71,61,38,
0,197,154,0,
132,1,1,156,
41,66,66,38,
92,8,6,92,
54,42,32,60,
0,149,82,0,
53,60,15,53,
58,14,23,74,
102,16,16,99,
37,51,47,53,
0,19225,11978,0,
61,37,5,60,
96,9,9,93,
83,19,6,80,
133,8,8,130,
107,16,16,107,
89,7,6,95,
4,179,41,16,
23,77,40,23,
23,96,19,20,
55,27,18,82,
19,84,67,19,
74037,0,0,74034,
103,0,0,100,
92,10,4,89,
11,123,113,11,
12,104,27,16,
10,163,142,10,
60,42,32,57,
112,10,10,109,
0,134,93,0,
38,80,56,38,
48,42,22,63,
23357,0,0,23357,
51,49,30,51,
106,0,0,104,
2,99,82,2,
