
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
6,6,2,15,624,966,

1,0,6,14,1259,2037,
0,3,0,23,1222,1953,
1,14,3,11,1162,2024,
5,2,12,7,1317,1865,
0,4,0,27,1268,1994,
2,2,2,0,1256,1944,
4,8,4,18,1243,1966,
0,34,2,0,1209,1954,
0,5,1,4,1184,1883,
0,10,24,11,1285,1994,
2,0,4,21,1298,1987,
0,0,1,14,1264,1938,
2,2,5,13,1221,1971,
4,35,8,31,1219,1965,
1,1,1,3,1246,2045,
1,10,3,3,1183,2014,
5,7,8,30,1202,2021,
7,2,4,6,1259,1903,
3,14,23,3,1248,1944,
2,0,0,5,1256,2023,
2,7,9,1,1230,1957,
4,4,27,1,1218,1884,
4,0,7,27,1277,2000,
0,4,2,27,1193,2056,
3,5,1,9,1268,1977,
4,3,19,2,1216,2013,
5,0,32,15,1259,1911,
2,6,11,11,1275,1942,
4,2,3,12,1306,1932,
0,4,0,14,1185,2021,
1,6,8,30,1235,1939,
3,5,12,28,1259,2037,
4,0,21,2,1261,2011,
5,5,18,17,1238,2009,
4,9,0,24,1286,2021,
6,6,17,10,1258,1977,
0,3,18,25,1204,2058,
1,0,4,24,1233,1952,
4,1,1,19,1289,2047,
5,7,0,6,1229,1953,
6,4,16,16,1249,1944,
1,12,0,9,1148,1984,
5,1,11,17,1324,1921,
0,0,7,42,1252,1974,
1,7,4,2,1291,2020,
6,7,2,2,1290,1872,
4,19,1,4,1202,2066,
1,9,6,10,1194,1992,
3,0,1,30,1270,1977,
5,25,7,21,1181,1998,
3,9,2,35,1237,1951,
3,5,21,29,1213,1985,
2,0,3,30,1247,2016,
4,3,2,14,1253,1963,
3,1,8,28,1212,1971,
2,6,18,31,1232,2012,
1,6,3,17,1267,2007,
7,1,4,7,1264,2003,
